frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
1,1092.51412,297.60059,1213.67211,447.11861,2.0,0.99408,1122.09595,359.14145,1149.53394,352.20587,1120.59534,368.8689,1121.78699,397.93811,1147.06677,391.42535,38.31787,27.62363,2.54384
1,564.61025,135.17771,716.68411,330.16682,1.0,0.99989,629.83179,214.04436,680.61469,215.32927,664.71942,244.15681,629.69641,266.67947,674.18927,267.87564,-18.21284,-6.33954,3.28791
2,1091.86933,299.3632,1212.47988,447.7716,2.0,0.99299,1121.1449,360.00281,1148.77869,352.67581,1120.15808,369.62906,1121.11938,398.85916,1146.51416,392.0715,37.92096,30.19405,4.42012
2,568.96699,140.09634,721.76629,333.06204,1.0,0.99989,634.55225,217.97838,686.04187,217.81508,669.8136,247.23466,636.90106,270.21753,682.25726,269.84698,-18.75777,-7.22125,3.04826
3,1090.75774,299.67202,1211.79604,448.22722,2.0,0.99395,1120.50366,359.96912,1148.22058,353.05835,1119.07935,370.14548,1119.94177,399.09216,1145.03125,392.75076,37.43167,30.80746,5.63309
3,572.39037,143.02408,725.05899,334.64394,1.0,0.99986,637.78748,219.93552,689.86035,221.95474,672.96735,250.6839,637.28326,272.5419,685.09326,274.21072,-21.01966,-8.62825,5.51347
0,1092.84692,297.07208,1214.03357,446.71082,2.0,0.99501,1122.25305,358.94547,1150.32764,351.70508,1121.17505,367.74588,1121.76794,397.5202,1147.92578,390.79684,37.74696,25.98175,3.43904
0,560.07916,127.24399,710.11047,323.60181,1.0,0.99979,627.24738,207.42017,674.89685,209.98378,659.23047,236.37875,627.46063,259.72507,667.56952,261.88968,-21.70001,-5.44544,3.42403
4,1090.17252,301.85427,1211.10667,449.79213,2.0,0.99261,1120.76648,360.60818,1147.76819,353.66879,1118.83606,370.97556,1119.99121,400.05725,1144.72314,393.77585,38.65443,30.85306,7.2995
4,575.09271,142.7485,728.6002,333.79304,1.0,0.99987,640.19366,220.25917,693.75616,224.81374,673.56378,251.67821,637.91266,272.0918,686.22211,275.77377,-19.34346,-11.6457,7.12061
5,1090.39837,302.77662,1211.0407,450.03239,2.0,0.99185,1119.75977,360.18103,1149.14648,354.17358,1120.18567,370.96683,1119.9989,400.53934,1144.14429,395.2225,40.90881,17.10244,2.78799
5,576.99926,143.13276,731.77178,335.08484,1.0,0.99977,641.27264,219.3544,694.68634,227.14183,671.70929,252.19455,639.79401,272.89941,684.32556,278.78497,-16.4197,-14.81326,9.05542
6,1089.44171,303.40126,1210.20292,450.26039,2.0,0.99266,1119.45898,361.11993,1146.91699,354.02124,1118.06177,371.59055,1118.80798,400.46231,1143.45764,394.10992,37.52905,30.76256,7.48309
6,578.36103,141.88371,733.06572,332.52296,1.0,0.99982,642.3252,217.3279,696.83887,226.59645,673.08295,250.9427,638.24786,270.83667,684.68689,278.11395,-16.68627,-9.66478,11.15031
1,1092.51412,297.60059,1213.67211,447.11861,2.0,0.99408,1122.09595,359.14145,1149.53394,352.20587,1120.59534,368.8689,1121.78699,397.93811,1147.06677,391.42535,38.31787,27.62363,2.54384
1,564.61025,135.17771,716.68411,330.16682,1.0,0.99989,629.83179,214.04436,680.61469,215.32927,664.71942,244.15681,629.69641,266.67947,674.18927,267.87564,-18.21284,-6.33954,3.28791
7,1089.25822,304.13075,1209.53654,450.09987,2.0,0.98986,1119.81042,361.09634,1146.80017,354.4415,1118.15649,371.97665,1119.11609,400.21857,1143.80798,394.20575,36.40747,30.08757,7.66315
7,578.84727,140.85418,734.24369,331.36644,1.0,0.99984,642.58704,216.20145,696.83978,226.64626,671.99976,249.32521,637.25232,269.25479,683.5481,277.54785,-15.66637,-9.97704,11.83553
2,1091.86933,299.3632,1212.47988,447.7716,2.0,0.99299,1121.1449,360.00281,1148.77869,352.67581,1120.15808,369.62906,1121.11938,398.85916,1146.51416,392.0715,37.92096,30.19405,4.42012
2,568.96699,140.09634,721.76629,333.06204,1.0,0.99989,634.55225,217.97838,686.04187,217.81508,669.8136,247.23466,636.90106,270.21753,682.25726,269.84698,-18.75777,-7.22125,3.04826
8,1089.2474,305.27849,1209.13543,450.03511,2.0,0.98849,1119.73486,361.27457,1147.5249,354.65768,1118.51855,371.70755,1118.68799,400.37354,1143.77136,394.37921,36.33575,29.87274,7.62421
8,579.99861,139.39267,736.57398,330.96341,1.0,0.99985,644.83203,213.95439,698.33472,224.30298,674.6701,247.67496,637.88483,266.5824,682.73834,275.26498,-15.41545,-10.36568,12.0052
3,1090.75774,299.67202,1211.79604,448.22722,2.0,0.99395,1120.50366,359.96912,1148.22058,353.05835,1119.07935,370.14548,1119.94177,399.09216,1145.03125,392.75076,37.43167,30.80746,5.63309
3,572.39037,143.02408,725.05899,334.64394,1.0,0.99986,637.78748,219.93552,689.86035,221.95474,672.96735,250.6839,637.28326,272.5419,685.09326,274.21072,-21.01966,-8.62825,5.51347
9,1089.25449,305.04553,1209.02327,449.4396,2.0,0.98943,1119.76025,361.47321,1147.69067,354.78952,1118.93958,371.86615,1118.95056,400.54581,1144.51794,394.53076,36.58771,30.19421,7.60989
9,581.78656,138.3372,739.18884,330.66627,1.0,0.99988,647.41174,212.36098,701.40515,223.40919,677.33508,247.28952,638.22009,264.88202,685.69751,274.26215,-15.42906,-10.57561,12.61433
4,1090.17252,301.85427,1211.10667,449.79213,2.0,0.99261,1120.76648,360.60818,1147.76819,353.66879,1118.83606,370.97556,1119.99121,400.05725,1144.72314,393.77585,38.65443,30.85306,7.2995
4,575.09271,142.7485,728.6002,333.79304,1.0,0.99987,640.19366,220.25917,693.75616,224.81374,673.56378,251.67821,637.91266,272.0918,686.22211,275.77377,-19.34346,-11.6457,7.12061
10,1089.62609,305.29649,1209.22066,449.3196,2.0,0.98949,1120.09167,362.15097,1147.68945,354.8703,1119.1958,372.15579,1119.57983,401.00601,1145.28088,394.46747,35.31171,31.14337,7.19498
10,584.54508,137.73967,742.10486,330.21456,1.0,0.9999,651.47845,212.22954,704.7973,222.18156,682.33417,245.88979,644.61005,265.4986,689.50891,273.77335,-16.86232,-10.40796,11.63596
5,1090.39837,302.77662,1211.0407,450.03239,2.0,0.99185,1119.75977,360.18103,1149.14648,354.17358,1120.18567,370.96683,1119.9989,400.53934,1144.14429,395.2225,40.90881,17.10244,2.78799
5,576.99926,143.13276,731.77178,335.08484,1.0,0.99977,641.27264,219.3544,694.68634,227.14183,671.70929,252.19455,639.79401,272.89941,684.32556,278.78497,-16.4197,-14.81326,9.05542
11,1090.08788,305.81603,1209.53185,449.38868,2.0,0.98842,1120.51538,362.76639,1147.83887,355.28528,1119.43933,372.41287,1119.94104,401.42334,1145.91492,394.69958,34.86964,30.87292,6.54195
11,587.72703,138.35179,744.64404,331.18923,1.0,0.99984,656.83521,211.84279,708.88068,221.74409,688.30048,247.08978,647.53064,265.73627,692.74023,274.26895,-19.19195,-10.78306,12.14627
6,1089.44171,303.40126,1210.20292,450.26039,2.0,0.99266,1119.45898,361.11993,1146.91699,354.02124,1118.06177,371.59055,1118.80798,400.46231,1143.45764,394.10992,37.52905,30.76256,7.48309
6,578.36103,141.88371,733.06572,332.52296,1.0,0.99982,642.3252,217.3279,696.83887,226.59645,673.08295,250.9427,638.24786,270.83667,684.68689,278.11395,-16.68627,-9.66478,11.15031
12,1090.88467,306.22857,1210.31829,449.50771,2.0,0.98891,1121.54932,363.03296,1148.23889,355.59659,1119.92188,372.63998,1121.20593,401.43097,1147.10181,394.70993,36.58215,27.41977,5.58514
