frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
0,1113.96301,186.30434,1225.79822,336.25443,10004,0.99284,1142.88367,252.05482,1155.2771,250.69063,1136.04248,274.11536,1154.61255,287.93848,1168.45496,285.73093,62.82452,-20.20358,-28.57035
0,555.08893,201.86224,655.63666,348.55731,10003,0.99363,617.05823,262.86899,622.01709,262.1434,638.00995,282.63522,612.79492,300.48547,617.92517,300.98935,-83.909,-5.7674,12.81335
0,212.22967,633.5094,318.49704,757.60858,10001,0.99916,243.7652,678.46155,274.05386,683.49243,249.36182,699.08252,239.17726,711.95917,265.90308,716.04431,15.49245,10.20819,10.12665
0,1113.96301,186.30434,1225.79822,336.25443,10004,0.99284,1142.88367,252.05482,1155.2771,250.69063,1136.04248,274.11536,1154.61255,287.93848,1168.45496,285.73093,62.82452,-20.20358,-28.57035
0,555.08893,201.86224,655.63666,348.55731,10003,0.99363,617.05823,262.86899,622.01709,262.1434,638.00995,282.63522,612.79492,300.48547,617.92517,300.98935,-83.909,-5.7674,12.81335
0,212.22967,633.5094,318.49704,757.60858,10001,0.99916,243.7652,678.46155,274.05386,683.49243,249.36182,699.08252,239.17726,711.95917,265.90308,716.04431,15.49245,10.20819,10.12665
1,1113.61478,188.47331,1224.89633,337.81507,10004,0.99248,1142.00293,253.99983,1154.75928,252.65895,1135.67371,276.20493,1154.24658,289.858,1168.23376,287.65649,63.21909,-17.93979,-28.40736
1,556.28291,206.05911,656.87456,351.55517,10003,0.99082,618.14453,264.73328,623.24579,264.05899,639.34241,284.47644,614.33301,303.30157,619.36676,303.81393,-83.95757,-15.16756,19.92732
1,1113.61478,188.47331,1224.89633,337.81507,10004,0.99248,1142.00293,253.99983,1154.75928,252.65895,1135.67371,276.20493,1154.24658,289.858,1168.23376,287.65649,63.21909,-17.93979,-28.40736
1,556.28291,206.05911,656.87456,351.55517,10003,0.99082,618.14453,264.73328,623.24579,264.05899,639.34241,284.47644,614.33301,303.30157,619.36676,303.81393,-83.95757,-15.16756,19.92732
2,1113.10038,189.99233,1223.70608,339.00288,10004,0.99139,1142.70544,255.05576,1154.6322,254.40689,1135.55249,277.61316,1154.09448,291.56427,1166.82104,289.93777,64.03224,-17.40846,-28.77699
2,556.56795,205.99407,658.11818,353.1423,10003,0.98525,619.2146,266.33072,623.85175,266.20529,639.1463,285.20892,615.44727,304.27386,620.46967,305.07648,-84.79704,-11.62192,16.67906
2,1113.10038,189.99233,1223.70608,339.00288,10004,0.99139,1142.70544,255.05576,1154.6322,254.40689,1135.55249,277.61316,1154.09448,291.56427,1166.82104,289.93777,64.03224,-17.40846,-28.77699
2,556.56795,205.99407,658.11818,353.1423,10003,0.98525,619.2146,266.33072,623.85175,266.20529,639.1463,285.20892,615.44727,304.27386,620.46967,305.07648,-84.79704,-11.62192,16.67906
3,1113.14973,190.80316,1222.58361,340.28331,10004,0.99218,1143.49548,257.25522,1156.72034,255.32184,1137.8573,279.11734,1153.31921,293.76801,1165.96509,291.42294,63.33099,-15.63597,-27.7779
3,558.37054,207.73507,660.03725,354.64704,10003,0.98743,619.89801,269.75421,625.17871,269.50742,640.49115,289.27344,616.71808,306.71872,622.14819,307.61697,-85.45728,-20.38167,24.36186
3,1113.14973,190.80316,1222.58361,340.28331,10004,0.99218,1143.49548,257.25522,1156.72034,255.32184,1137.8573,279.11734,1153.31921,293.76801,1165.96509,291.42294,63.33099,-15.63597,-27.7779
3,558.37054,207.73507,660.03725,354.64704,10003,0.98743,619.89801,269.75421,625.17871,269.50742,640.49115,289.27344,616.71808,306.71872,622.14819,307.61697,-85.45728,-20.38167,24.36186
4,1113.28404,192.44742,1221.4829,341.87809,10004,0.9926,1143.46179,258.30927,1155.59229,256.10672,1138.11462,279.88589,1152.91882,294.82455,1165.24207,292.31616,63.0126,-18.03769,-29.56891
4,559.09945,209.56597,660.92232,356.16893,10003,0.98793,620.7561,271.30627,626.25964,271.42184,641.51392,291.11636,617.33356,308.34006,622.71252,309.49713,-85.20766,-14.75925,19.61404
4,1113.28404,192.44742,1221.4829,341.87809,10004,0.9926,1143.46179,258.30927,1155.59229,256.10672,1138.11462,279.88589,1152.91882,294.82455,1165.24207,292.31616,63.0126,-18.03769,-29.56891
4,559.09945,209.56597,660.92232,356.16893,10003,0.98793,620.7561,271.30627,626.25964,271.42184,641.51392,291.11636,617.33356,308.34006,622.71252,309.49713,-85.20766,-14.75925,19.61404
5,1113.0322,195.16554,1218.7015,343.27622,10004,0.99379,1143.50562,259.83081,1156.46411,256.85541,1138.86987,281.33514,1152.83838,296.52829,1165.38281,293.35916,62.64149,-16.99997,-29.56456
5,560.08554,211.55825,662.11109,358.20378,10003,0.98601,621.7572,273.70834,627.07556,273.54694,642.711,293.63007,618.65002,310.82196,623.6366,311.76648,-84.49616,-12.90456,18.31633
5,1113.0322,195.16554,1218.7015,343.27622,10004,0.99379,1143.50562,259.83081,1156.46411,256.85541,1138.86987,281.33514,1152.83838,296.52829,1165.38281,293.35916,62.64149,-16.99997,-29.56456
