frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
0,1107.37317,320.11914,1310.672,572.06085,2.0,0.99669,1151.28259,427.73819,1210.55164,438.94168,1151.48352,459.5564,1142.25977,495.50812,1191.07568,504.37274,34.81927,23.16644,24.27707
0,502.07294,163.51926,696.31366,445.69379,1.0,0.99902,636.58417,282.82233,657.26624,291.95877,677.31384,338.37186,618.25659,364.3595,635.95319,373.60095,-67.12263,-18.85271,30.33469
0,1107.37317,320.11914,1310.672,572.06085,2.0,0.99669,1151.28259,427.73819,1210.55164,438.94168,1151.48352,459.5564,1142.25977,495.50812,1191.07568,504.37274,34.81927,23.16644,24.27707
0,502.07294,163.51926,696.31366,445.69379,1.0,0.99902,636.58417,282.82233,657.26624,291.95877,677.31384,338.37186,618.25659,364.3595,635.95319,373.60095,-67.12263,-18.85271,30.33469
1,1106.72891,319.35356,1310.46332,572.04154,2.0,0.9969,1151.52893,426.87939,1209.33191,438.82004,1150.24463,459.28287,1142.00769,494.27246,1189.42566,503.79398,35.05191,23.87148,23.99586
1,501.32135,165.81346,696.13108,448.22589,1.0,0.9991,638.13812,285.94989,655.6308,293.18903,677.36987,341.13004,619.23608,367.55127,634.83636,375.45169,-67.22181,-22.2225,32.85721
1,1106.72891,319.35356,1310.46332,572.04154,2.0,0.9969,1151.52893,426.87939,1209.33191,438.82004,1150.24463,459.28287,1142.00769,494.27246,1189.42566,503.79398,35.05191,23.87148,23.99586
1,501.32135,165.81346,696.13108,448.22589,1.0,0.9991,638.13812,285.94989,655.6308,293.18903,677.36987,341.13004,619.23608,367.55127,634.83636,375.45169,-67.22181,-22.2225,32.85721
2,1107.20723,320.64326,1309.63538,571.63577,2.0,0.99671,1152.55237,424.65164,1208.4707,438.26501,1148.26501,458.29916,1140.94226,492.63873,1187.54248,503.6749,35.405,23.69916,24.63785
2,501.98644,168.11723,695.23813,450.03231,1.0,0.99895,638.06891,289.39587,653.7666,297.11514,674.97162,345.13504,618.18298,369.37784,632.59601,377.88397,-68.12823,-23.76363,33.17363
2,1107.20723,320.64326,1309.63538,571.63577,2.0,0.99671,1152.55237,424.65164,1208.4707,438.26501,1148.26501,458.29916,1140.94226,492.63873,1187.54248,503.6749,35.405,23.69916,24.63785
2,501.98644,168.11723,695.23813,450.03231,1.0,0.99895,638.06891,289.39587,653.7666,297.11514,674.97162,345.13504,618.18298,369.37784,632.59601,377.88397,-68.12823,-23.76363,33.17363
3,1106.17088,321.3606,1308.57253,572.1542,2.0,0.99664,1152.87854,424.66925,1208.07812,437.37274,1147.26465,456.05823,1140.33618,492.03964,1186.35107,502.46411,35.42271,22.98705,24.2086
3,500.22859,167.69578,692.82817,449.827,1.0,0.99881,635.43414,290.38654,651.66455,297.26074,672.2951,345.87268,617.88135,370.30356,632.17426,378.17368,-68.91011,-23.73296,32.81152
3,1106.17088,321.3606,1308.57253,572.1542,2.0,0.99664,1152.87854,424.66925,1208.07812,437.37274,1147.26465,456.05823,1140.33618,492.03964,1186.35107,502.46411,35.42271,22.98705,24.2086
3,500.22859,167.69578,692.82817,449.827,1.0,0.99881,635.43414,290.38654,651.66455,297.26074,672.2951,345.87268,617.88135,370.30356,632.17426,378.17368,-68.91011,-23.73296,32.81152
4,1106.53982,320.23333,1308.96137,571.47858,2.0,0.99658,1152.51733,424.4527,1208.39026,436.30573,1147.43616,455.75345,1140.18701,492.24915,1186.63379,502.02701,35.52768,23.4529,24.13016
4,497.97231,165.46907,691.86091,452.06502,1.0,0.99889,629.24786,288.20737,651.33722,293.17477,670.04669,342.47186,613.71216,372.74567,633.49438,378.11346,-69.87432,-22.563,31.80637
4,1106.53982,320.23333,1308.96137,571.47858,2.0,0.99658,1152.51733,424.4527,1208.39026,436.30573,1147.43616,455.75345,1140.18701,492.24915,1186.63379,502.02701,35.52768,23.4529,24.13016
4,497.97231,165.46907,691.86091,452.06502,1.0,0.99889,629.24786,288.20737,651.33722,293.17477,670.04669,342.47186,613.71216,372.74567,633.49438,378.11346,-69.87432,-22.563,31.80637
5,1106.37403,319.64557,1308.54541,571.064,2.0,0.99646,1152.27441,424.46658,1207.94263,435.97885,1146.85938,455.87033,1139.76453,492.12762,1185.98193,501.59961,35.95747,22.70186,24.25446
5,493.89977,161.57551,688.69346,450.4206,1.0,0.99906,624.89062,282.18796,645.34131,286.57379,667.45709,336.80368,611.26923,369.17209,629.27698,374.08508,-70.53985,-17.04138,29.91931
5,1106.37403,319.64557,1308.54541,571.064,2.0,0.99646,1152.27441,424.46658,1207.94263,435.97885,1146.85938,455.87033,1139.76453,492.12762,1185.98193,501.59961,35.95747,22.70186,24.25446
5,493.89977,161.57551,688.69346,450.4206,1.0,0.99906,624.89062,282.18796,645.34131,286.57379,667.45709,336.80368,611.26923,369.17209,629.27698,374.08508,-70.53985,-17.04138,29.91931
6,1106.1103,319.39783,1307.79105,570.88131,2.0,0.99638,1151.92004,423.80429,1207.86719,435.67764,1146.34546,455.92648,1139.05396,491.85864,1185.95154,501.65411,35.77328,22.02299,23.75816
6,488.65864,156.05625,684.32353,447.17349,1.0,0.99911,621.64954,275.32831,639.50922,280.68423,664.19678,329.48077,607.51825,364.0842,624.13422,369.53824,-71.95001,-13.92329,28.30475
6,1106.1103,319.39783,1307.79105,570.88131,2.0,0.99638,1151.92004,423.80429,1207.86719,435.67764,1146.34546,455.92648,1139.05396,491.85864,1185.95154,501.65411,35.77328,22.02299,23.75816
6,488.65864,156.05625,684.32353,447.17349,1.0,0.99911,621.64954,275.32831,639.50922,280.68423,664.19678,329.48077,607.51825,364.0842,624.13422,369.53824,-71.95001,-13.92329,28.30475
