frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
0,672.28326,111.31743,806.6012,281.21164,1.0,0.9994,719.46149,181.69392,764.08289,184.52376,741.70703,211.45071,723.5694,233.4209,756.03174,235.2677,2.73668,0.61407,5.77242
0,672.28326,111.31743,806.6012,281.21164,1.0,0.9994,719.46149,181.69392,764.08289,184.52376,741.70703,211.45071,723.5694,233.4209,756.03174,235.2677,2.73668,0.61407,5.77242
1,672.60065,111.62017,806.53049,281.40398,1.0,0.99931,719.75183,181.4313,764.16132,184.14822,741.77307,211.72733,723.75391,233.51065,756.28729,235.2312,2.74283,0.44745,5.70364
1,672.60065,111.62017,806.53049,281.40398,1.0,0.99931,719.75183,181.4313,764.16132,184.14822,741.77307,211.72733,723.75391,233.51065,756.28729,235.2312,2.74283,0.44745,5.70364
2,672.73831,111.44773,806.60794,281.51878,1.0,0.99927,719.36743,182.03285,763.85657,183.79802,742.12775,211.10506,723.60486,234.198,756.58508,235.14148,2.50623,0.02941,5.76363
2,672.73831,111.44773,806.60794,281.51878,1.0,0.99927,719.36743,182.03285,763.85657,183.79802,742.12775,211.10506,723.60486,234.198,756.58508,235.14148,2.50623,0.02941,5.76363
3,672.59287,111.51979,806.5344,281.73807,1.0,0.9993,719.93011,181.36322,764.29974,184.14061,742.1236,211.82132,723.87408,233.76447,756.32269,235.50574,2.29502,-0.00073,5.90321
3,672.59287,111.51979,806.5344,281.73807,1.0,0.9993,719.93011,181.36322,764.29974,184.14061,742.1236,211.82132,723.87408,233.76447,756.32269,235.50574,2.29502,-0.00073,5.90321
4,672.53833,111.45318,806.71321,282.04727,1.0,0.99931,719.85565,181.44345,764.36127,184.4081,741.90784,211.94873,723.58746,233.71324,756.23743,235.62202,2.28257,0.65806,6.25534
4,672.53833,111.45318,806.71321,282.04727,1.0,0.99931,719.85565,181.44345,764.36127,184.4081,741.90784,211.94873,723.58746,233.71324,756.23743,235.62202,2.28257,0.65806,6.25534
5,672.72038,111.45739,806.7646,282.02944,1.0,0.99924,720.01935,181.32008,764.66565,184.2048,742.30756,212.29251,723.60748,233.953,756.75958,235.77463,2.04686,1.72568,5.15649
5,672.72038,111.45739,806.7646,282.02944,1.0,0.99924,720.01935,181.32008,764.66565,184.2048,742.30756,212.29251,723.60748,233.953,756.75958,235.77463,2.04686,1.72568,5.15649
6,672.83558,111.32879,806.79882,281.89069,1.0,0.99926,720.03796,181.19035,764.61707,183.92183,742.36438,212.25459,723.68878,233.96333,756.86163,235.66034,2.12064,1.73558,4.95946
6,672.83558,111.32879,806.79882,281.89069,1.0,0.99926,720.03796,181.19035,764.61707,183.92183,742.36438,212.25459,723.68878,233.96333,756.86163,235.66034,2.12064,1.73558,4.95946
7,672.80771,111.0098,806.87013,281.91109,1.0,0.99925,719.90656,181.15205,764.71106,183.99252,742.35175,212.46051,723.61743,234.15643,756.80615,235.93413,1.2426,1.15521,4.93016
7,672.80771,111.0098,806.87013,281.91109,1.0,0.99925,719.90656,181.15205,764.71106,183.99252,742.35175,212.46051,723.61743,234.15643,756.80615,235.93413,1.2426,1.15521,4.93016
8,672.79152,110.97593,806.8963,281.99312,1.0,0.9992,719.93872,181.21461,764.7157,184.0869,742.30011,212.35893,723.79736,234.1946,756.83142,235.99904,1.37473,1.33368,5.30065
8,672.79152,110.97593,806.8963,281.99312,1.0,0.9992,719.93872,181.21461,764.7157,184.0869,742.30011,212.35893,723.79736,234.1946,756.83142,235.99904,1.37473,1.33368,5.30065
9,672.8667,110.98297,806.59931,281.86857,1.0,0.99902,720.14417,181.13284,764.39026,184.02745,742.01971,212.8055,723.93073,234.66846,756.31311,236.48421,1.71822,1.24061,4.76475
9,672.8667,110.98297,806.59931,281.86857,1.0,0.99902,720.14417,181.13284,764.39026,184.02745,742.01971,212.8055,723.93073,234.66846,756.31311,236.48421,1.71822,1.24061,4.76475
10,673.01033,110.9018,806.4411,281.58178,1.0,0.99899,720.09912,181.04607,764.34314,184.06064,741.83044,213.01328,723.78955,234.6835,756.20703,236.60471,2.03148,1.16009,4.99326
10,673.01033,110.9018,806.4411,281.58178,1.0,0.99899,720.09912,181.04607,764.34314,184.06064,741.83044,213.01328,723.78955,234.6835,756.20703,236.60471,2.03148,1.16009,4.99326
11,673.02849,110.90729,806.30601,281.63622,1.0,0.99892,719.90778,181.01886,764.3725,184.12761,741.77057,213.18214,723.42853,235.0215,756.26251,237.02284,2.21284,1.05897,4.84902
11,673.02849,110.90729,806.30601,281.63622,1.0,0.99892,719.90778,181.01886,764.3725,184.12761,741.77057,213.18214,723.42853,235.0215,756.26251,237.02284,2.21284,1.05897,4.84902
12,673.01652,110.85329,806.22586,281.55458,1.0,0.99897,719.86871,181.25706,764.38977,184.07149,741.93323,212.97043,723.88336,234.93559,756.38849,236.70998,1.74454,1.0435,4.72874
12,673.01652,110.85329,806.22586,281.55458,1.0,0.99897,719.86871,181.25706,764.38977,184.07149,741.93323,212.97043,723.88336,234.93559,756.38849,236.70998,1.74454,1.0435,4.72874
13,673.01259,110.71952,806.20144,281.35011,1.0,0.99902,720.00073,181.13863,764.43134,183.9687,742.04114,212.81345,723.91406,234.78415,756.44501,236.58412,1.44566,0.94891,4.78805
13,673.01259,110.71952,806.20144,281.35011,1.0,0.99902,720.00073,181.13863,764.43134,183.9687,742.04114,212.81345,723.91406,234.78415,756.44501,236.58412,1.44566,0.94891,4.78805
14,672.98868,110.53888,806.20282,281.29315,1.0,0.99903,719.87299,181.07677,764.49408,183.90175,741.92383,212.91255,723.82733,235.13213,756.36829,236.94164,1.51453,1.56546,5.35796
14,672.98868,110.53888,806.20282,281.29315,1.0,0.99903,719.87299,181.07677,764.49408,183.90175,741.92383,212.91255,723.82733,235.13213,756.36829,236.94164,1.51453,1.56546,5.35796
15,673.00985,110.35769,806.152,280.89577,1.0,0.99905,719.89148,181.04654,764.55939,183.71103,742.14142,213.02135,723.96576,235.21315,756.66705,236.90337,1.99315,1.54843,5.0574
15,673.00985,110.35769,806.152,280.89577,1.0,0.99905,719.89148,181.04654,764.55939,183.71103,742.14142,213.02135,723.96576,235.21315,756.66705,236.90337,1.99315,1.54843,5.0574
16,673.12863,110.26319,806.10308,280.82675,1.0,0.99896,719.70844,180.57764,764.73291,183.54564,741.81641,213.15385,723.00903,235.52397,756.52228,237.47798,2.80625,1.08626,4.66214
16,673.12863,110.26319,806.10308,280.82675,1.0,0.99896,719.70844,180.57764,764.73291,183.54564,741.81641,213.15385,723.00903,235.52397,756.52228,237.47798,2.80625,1.08626,4.66214
17,673.22952,110.24374,806.11485,280.76185,1.0,0.99908,719.94409,180.68642,764.50262,183.49559,741.935,213.01915,723.5202,235.00793,756.56836,236.81186,2.4429,1.07009,5.05801
17,673.22952,110.24374,806.11485,280.76185,1.0,0.99908,719.94409,180.68642,764.50262,183.49559,741.935,213.01915,723.5202,235.00793,756.56836,236.81186,2.4429,1.07009,5.05801
18,673.22226,110.09361,806.0334,280.72088,1.0,0.99911,720.02142,180.63998,764.23328,183.37379,741.70795,212.91534,723.49725,234.6263,756.38416,236.39754,1.97518,0.67186,5.09425
18,673.22226,110.09361,806.0334,280.72088,1.0,0.99911,720.02142,180.63998,764.23328,183.37379,741.70795,212.91534,723.49725,234.6263,756.38416,236.39754,1.97518,0.67186,5.09425
19,673.2476,109.85334,805.97549,280.5238,1.0,0.999,719.87146,180.53104,764.25372,183.41116,741.66284,213.00168,723.42181,234.961,756.23798,236.85501,2.48259,0.63654,4.78108
19,673.2476,109.85334,805.97549,280.5238,1.0,0.999,719.87146,180.53104,764.25372,183.41116,741.66284,213.00168,723.42181,234.961,756.23798,236.85501,2.48259,0.63654,4.78108
20,673.3335,109.93231,805.93325,280.57632,1.0,0.99893,719.90967,180.53049,764.30066,183.42029,741.6637,212.96878,723.44183,235.11362,756.20923,237.00684,3.03889,0.87788,4.80549
20,673.3335,109.93231,805.93325,280.57632,1.0,0.99893,719.90967,180.53049,764.30066,183.42029,741.6637,212.96878,723.44183,235.11362,756.20923,237.00684,3.03889,0.87788,4.80549
21,673.27389,109.90573,805.89707,280.70956,1.0,0.99906,719.90955,180.46646,764.35333,183.42435,741.62341,212.9659,723.20386,235.0181,756.13489,236.96402,2.64814,1.72316,4.73852
21,673.27389,109.90573,805.89707,280.70956,1.0,0.99906,719.90955,180.46646,764.35333,183.42435,741.62341,212.9659,723.20386,235.0181,756.13489,236.96402,2.64814,1.72316,4.73852
